_timestamp,body_app_name,body_date,body_device_id,body_device_partition,body_hour,body_index_name,body_log_data_devicename,body_log_data_devicetype,body_log_data_eventname,body_log_data_eventtype,body_log_data_index,body_log_data_loggedevent,body_log_data_messagetype,body_log_data_model,body_log_data_tag,body_log_data_timezone,body_log_data_tzoffset,body_log_data_value,body_log_label,body_log_level,body_log_summary,body_month,body_organization_id,body_tag_id,body_timestamp,body_user_id,body_year,dropped_attributes_count,severity
1763118906743596,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116671,,2025,0,0
1763118906743569,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116669,,2025,0,0
1763118894550932,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116667,,2025,0,0
1763118894550891,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116665,,2025,0,0
1763118894550863,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116663,,2025,0,0
1763118894549858,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116661,,2025,0,0
1763118894548465,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116659,,2025,0,0
1763118894548427,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116657,,2025,0,0
1763118894548396,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116655,,2025,0,0
1763118894548362,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116653,,2025,0,0
1763118894548329,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116651,,2025,0,0
1763118894548292,pod,2025-11-14,4e669dcc-d4b4-412f-98d6-17b35a7d83a5,0,10,hardware,S1-349,DOZEE,EVN_PING,NETW,hardware,LOG,LOGGED,S1,default,Asia/Kolkata,19800,PING_FAIL,Not Defined,warning,Not Yet Defined in Config,2025-11,d5fa5e04-dffc-490b-a3e7-388ac83accf0,,1763116649,,2025,0,0
